popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,False,0.175,0.196,F,-18.02,minor,0.0326,0.959,0.823,0.209,0.151,49.891,4/4,classical
0,False,0.146,0.00241,C-sharp_D-flat,-40.843,minor,0.0434,0.995,0.945,0.113,0.0973,166.462,3/4,classical
1,False,0.145,0.135,G,-16.841,major,0.0429,0.978,0.971,0.323,0.0535,77.975,3/4,classical
0,False,0.328,0.14,C-sharp_D-flat,-17.553,major,0.033,0.977,0.895,0.0926,0.218,97.785,3/4,classical
0,False,0.171,0.0367,G,-22.811,minor,0.0435,0.808,0.332,0.122,0.0838,131.559,4/4,classical
0,False,0.387,0.0519,F,-22.926,minor,0.0426,0.991,0.924,0.133,0.152,62.457,4/4,classical
0,False,0.426,0.0331,C-sharp_D-flat,-22.214,major,0.0483,0.991,0.897,0.0922,0.063,133.71,4/4,classical
0,False,0.499,0.059,G,-20.969,major,0.0546,0.995,0.89,0.0889,0.171,82.472,4/4,classical
0,False,0.405,0.186,B,-21.802,major,0.0565,0.931,0.866,0.219,0.609,110.747,4/4,classical
0,False,0.339,0.0322,F-sharp_G-flat,-22.741,minor,0.0501,0.99,0.92,0.0854,0.0986,69.941,4/4,classical
0,False,0.297,0.0565,C-sharp_D-flat,-37.107,major,0.0493,0.977,0.936,0.727,0.175,126.006,4/4,classical
0,False,0.129,0.169,G,-19.892,major,0.0408,0.916,0.942,0.124,0.0541,52.153,3/4,classical
0,False,0.368,0.0334,C-sharp_D-flat,-30.83,major,0.0326,0.987,0.939,0.135,0.128,97.2,4/4,classical
0,False,0.0965,0.2,A-sharp_B-flat,-16.97,major,0.0393,0.967,0.958,0.169,0.238,78.351,4/4,classical
0,False,0.245,0.0282,G-sharp_A-flat,-30.836,major,0.0392,0.993,0.927,0.0976,0.137,92.531,4/4,classical
0,False,0.169,0.049,D,-23.409,major,0.0385,0.956,0.017,0.15,0.0799,136.065,4/4,classical
0,False,0.177,0.0601,C,-21.942,major,0.0405,0.987,0.894,0.0687,0.0543,81.807,3/4,classical
1,False,0.513,0.296,G,-15.81,major,0.0496,0.99,0.803,0.158,0.804,84.367,4/4,classical
1,False,0.138,0.173,G,-17.603,major,0.0371,0.955,0.928,0.161,0.159,100.657,4/4,classical
0,False,0.158,0.00972,F-sharp_G-flat,-32.888,major,0.0463,0.949,0.137,0.0955,0.0572,138.062,3/4,classical
0,False,0.522,0.215,B,-21.148,minor,0.0655,0.992,0.912,0.0971,0.934,103.767,4/4,classical
0,False,0.343,0.243,B,-15.404,minor,0.0578,0.943,0.0,0.532,0.417,73.48,4/4,classical
0,False,0.323,0.204,A-sharp_B-flat,-23.955,major,0.0322,0.985,0.891,0.693,0.292,110.262,4/4,classical
0,False,0.476,0.391,E,-11.603,major,0.0455,0.931,0.000678,0.367,0.681,95.44,4/4,classical
0,False,0.222,0.169,B,-22.07,minor,0.0492,0.993,0.925,0.0965,0.428,58.948,4/4,classical
0,False,0.392,0.135,A,-27.178,minor,0.0534,0.994,0.871,0.0867,0.537,129.774,4/4,classical
0,False,0.499,0.059,G,-20.969,major,0.0546,0.995,0.89,0.0889,0.171,82.472,4/4,classical
0,False,0.579,0.276,C-sharp_D-flat,-17.433,major,0.0446,0.958,0.00202,0.0551,0.715,95.222,4/4,classical
0,False,0.334,0.0699,G,-19.734,major,0.056,0.986,0.853,0.108,0.595,134.081,4/4,classical
0,False,0.212,0.00299,C,-41.531,major,0.0413,0.991,0.941,0.0643,0.0839,140.353,4/4,classical
0,False,0.499,0.327,C-sharp_D-flat,-16.66,major,0.0382,0.937,0.161,0.131,0.43,134.882,3/4,classical
0,False,0.358,0.201,D-sharp_E-flat,-24.341,major,0.0464,0.957,0.886,0.0983,0.201,140.081,4/4,classical
0,False,0.129,0.169,G,-19.892,major,0.0408,0.916,0.942,0.124,0.0541,52.153,3/4,classical
0,False,0.169,0.049,D,-23.409,major,0.0385,0.956,0.017,0.15,0.0799,136.065,4/4,classical
0,False,0.145,0.135,G,-16.841,major,0.0429,0.978,0.971,0.323,0.0535,77.975,3/4,classical
0,False,0.513,0.296,G,-15.81,major,0.0496,0.99,0.803,0.158,0.804,84.367,4/4,classical
0,False,0.579,0.276,C-sharp_D-flat,-17.433,major,0.0446,0.958,0.00202,0.0551,0.715,95.222,4/4,classical
0,False,0.138,0.173,G,-17.603,major,0.0371,0.955,0.928,0.161,0.159,100.657,4/4,classical
0,False,0.499,0.327,C-sharp_D-flat,-16.66,major,0.0382,0.937,0.161,0.131,0.43,134.882,3/4,classical
48,False,0.635,0.486,B,-11.857,minor,0.0698,0.707,0.0854,0.422,0.343,130.088,4/4,classical
46,False,0.677,0.38,D-sharp_E-flat,-14.241,major,0.0324,0.937,0.0571,0.112,0.525,102.036,4/4,classical
