popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_popular
11,False,0.273,0.929,F-sharp_G-flat,-6.343,major,0.13,1.27e-06,0.895,0.109,0.0388,109.603,5/4,unpopular
0,False,0.306,0.796,G-sharp_A-flat,-9.177,minor,0.0556,0.000758,0.773,0.0642,0.33,135.022,4/4,unpopular
46,False,0.414,0.946,F-sharp_G-flat,-3.212,minor,0.0924,0.0046,0.0,0.211,0.401,87.445,4/4,unpopular
73,False,0.536,0.901,A,-7.211,major,0.0374,0.00145,0.0186,0.06,0.666,87.559,4/4,popular
37,False,0.566,0.7,B,-8.476,minor,0.0395,0.0208,0.0,0.113,0.573,110.86,4/4,unpopular
48,False,0.637,0.759,F,-4.804,major,0.0809,0.0244,0.0,0.0991,0.304,98.035,4/4,unpopular
56,False,0.545,0.255,G-sharp_A-flat,-14.844,major,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,4/4,popular
52,False,0.371,0.668,B,-7.269,minor,0.0497,0.636,2e-06,0.294,0.403,87.458,4/4,popular
0,False,0.525,0.711,D,-5.325,major,0.0333,0.651,0.0,0.657,0.904,69.688,4/4,unpopular
58,False,0.696,0.376,D-sharp_E-flat,-6.158,major,0.0305,0.875,0.0,0.137,0.774,111.941,4/4,popular
0,False,0.3,0.579,C,-9.583,minor,0.0391,0.54,7.25e-05,0.981,0.707,77.15,4/4,unpopular
55,False,0.503,0.981,C-sharp_D-flat,-5.701,major,0.0936,0.000682,9.06e-05,0.194,0.34,124.91,4/4,popular
17,False,0.921,0.423,C,-9.389,major,0.0512,0.402,0.0,0.107,0.855,121.997,4/4,unpopular
20,False,0.312,0.0435,D,-24.635,major,0.044,0.953,0.942,0.108,0.197,74.396,4/4,unpopular
17,False,0.637,0.575,A,-13.153,major,0.0547,0.758,0.0,0.117,0.783,96.992,4/4,unpopular
33,False,0.775,0.933,G,-6.693,major,0.0317,0.129,0.0,0.316,0.964,130.012,4/4,unpopular
53,False,0.365,0.765,C-sharp_D-flat,-4.449,major,0.0416,0.0088,2.06e-06,0.0959,0.241,179.955,3/4,popular
0,False,0.641,0.293,D,-10.711,major,0.0291,0.836,0.0,0.217,0.373,129.849,4/4,unpopular
56,False,0.661,0.655,D,-4.556,minor,0.0939,0.604,1.88e-05,0.0881,0.577,164.033,4/4,popular
0,False,0.412,0.601,D,-10.493,major,0.0536,0.000866,0.0455,0.321,0.49,114.543,4/4,unpopular
0,False,0.607,0.481,G,-9.347,minor,0.0269,0.404,0.0,0.107,0.78,109.403,4/4,unpopular
34,False,0.207,0.203,C,-35.357,minor,0.0502,0.982,0.971,0.158,0.0391,70.036,3/4,unpopular
0,False,0.289,0.48,F,-11.201,major,0.0389,0.979,0.948,0.134,0.0307,72.565,4/4,unpopular
37,False,0.672,0.828,F-sharp_G-flat,-4.869,minor,0.0911,0.00613,0.123,0.122,0.119,129.997,4/4,unpopular
17,False,0.566,0.846,E,-5.995,minor,0.0551,0.00116,0.715,0.645,0.0818,173.99,4/4,unpopular
52,False,0.252,0.462,B,-9.05,major,0.0334,0.0135,0.0,0.104,0.0604,110.243,4/4,popular
36,False,0.704,0.449,C-sharp_D-flat,-10.623,minor,0.0515,0.458,0.866,0.11,0.355,87.992,4/4,unpopular
5,False,0.441,0.976,G-sharp_A-flat,-3.09,minor,0.147,0.000335,0.0475,0.298,0.248,130.411,4/4,unpopular
20,False,0.578,0.394,G,-11.752,major,0.0271,0.744,0.000804,0.0943,0.583,84.169,4/4,unpopular
0,False,0.491,0.957,D,-5.63,minor,0.0518,0.000503,0.709,0.257,0.459,139.965,4/4,unpopular
52,False,0.0758,0.485,D,-16.907,minor,0.0502,0.768,0.947,0.861,1e-05,83.482,4/4,popular
23,False,0.525,0.424,A,-9.356,minor,0.101,0.00552,0.0044,0.062,0.631,203.01,4/4,unpopular
42,False,0.616,0.336,C-sharp_D-flat,-9.279,major,0.0309,0.724,0.0,0.2,0.19,135.905,4/4,unpopular
52,False,0.678,0.375,F,-6.992,minor,0.0293,0.25,0.908,0.209,0.202,89.994,4/4,popular
0,False,0.655,0.728,C,-11.714,minor,0.0321,0.752,0.00188,0.609,0.966,96.385,4/4,unpopular
20,False,0.489,0.871,C,-7.152,major,0.173,0.000615,0.000193,0.106,0.234,129.972,4/4,unpopular
71,False,0.601,0.757,D,-3.341,major,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,4/4,popular
25,False,0.57,0.592,A,-9.014,major,0.198,0.00819,0.000118,0.165,0.961,79.96,4/4,unpopular
22,False,0.625,0.812,F-sharp_G-flat,-4.41,minor,0.043,0.345,0.0,0.344,0.854,96.08,4/4,unpopular
23,False,0.545,0.863,C-sharp_D-flat,-4.066,major,0.0321,0.382,3.55e-06,0.103,0.892,134.224,4/4,unpopular
36,False,0.608,0.94,G-sharp_A-flat,-7.715,minor,0.0406,0.000218,0.732,0.471,0.356,146.996,4/4,unpopular
0,False,0.567,0.92,C-sharp_D-flat,-5.669,major,0.0483,0.468,4.04e-05,0.28,0.9,161.004,4/4,unpopular
42,False,0.527,0.839,A,-5.465,major,0.0391,0.000169,4.47e-06,0.282,0.719,141.025,4/4,unpopular
18,False,0.499,0.0306,D,-21.302,major,0.0896,0.99,0.924,0.0884,0.142,71.16,3/4,unpopular
